"Latest: Time (min)";"Latest: Temperatur metall (°C)";"Latest: Temperatur svart (°C)"
0;22,1467240698;22,2123351187
0,0166666666667;22,1452658802;22,2123351187
0,0333333333333;22,1452658802;22,2108772535
0,05;22,1452658802;22,2079615016
0,0666666666667;22,1438076833;22,2108772535
0,0833333333333;22,1452658802;22,2108772535
0,1;22,1408912677;22,2079615016
0,116666666667;22,1408912677;22,2079615016
0,133333333333;22,1438076833;22,2079615016
0,15;22,1408912677;22,2065036149
0,166666666667;22,151098595;22,2123351187
0,183333333333;22,151098595;22,2108772535
0,2;22,151098595;22,2123351187
0,216666666667;22,1540149088;22,2152508278
0,233333333333;22,1554730548;22,2181665083
0,25;22,1569311935;22,225455585
0,266666666667;22,162763676;22,2312867183
0,283333333333;22,1613055663;22,2342022423
0,3;22,1685960426;22,237117738
0,316666666667;22,1729702417;22,250237118
0,333333333333;22,1773443758;22,2604406847
0,35;22,1802604291;22,2721014815
0,366666666667;22,184634455;22,2837618293
0,383333333333;22,1948402638;22,2852193413
0,4;22,2035878201;22,2881343443
0,416666666667;22,2137929768;22,3041663623
0,433333333333;22,2239977839;22,3129107446
0,45;22,226913379;22,3303987615
0,466666666667;22,2283711659;22,3537145736
0,483333333333;22,2327444839;22,3653718215
0,5;22,245864055;22,3799427676
0,516666666667;22,253152458;22,3974270064
0,533333333333;22,2575254152;22,4061687605
0,55;22,2691863245;22,420737812
0,566666666667;22,2881343443;22,4353061925
0,583333333333;22,2997940773;22,4688109378
0,6;22,3070811841;22,4819205363
0,616666666667;22,3201975393;22,502312186
0,633333333333;22,3289414647;22,5212461409
0,65;22,3464285712;22,5489168692
0,666666666667;22,3478857854;22,5722167293
0,683333333333;22,3566289266;22,5882344321
0,7;22,3712002817;22,6144435589
0,716666666667;22,3828568752;22,6391947448
0,733333333333;22,3959700237;22,6683114714
0,75;22,4163671671;22,6886917024
0,766666666667;22,4294789206;22,7163486575
0,783333333333;22,4440469;22,7498251831
0,8;22,4484171638;22,7687452828
0,816666666667;22,465897621;22,794940672
0,833333333333;22,4877468533;22,8284097578
0,85;22,4993991719;22,8662406355
0,866666666667;22,5168768645;22,8880643553
0,883333333333;22,5212461409;22,9317079203
0,9;22,5387226622;22,9608007923
0,916666666667;22,5532857183;22,9840734739
0,933333333333;22,5678481307;23,0160710894
0,95;22,5926027627;23,0538830267
0,966666666667;22,611531535;23,0829666369
0,983333333333;22,6158995614;23,1294959637
1;22,6348270204;23,1614817421
1,01666666667;22,6522975803;23,193465003
1,03333333333;22,679957466;23,23707454
1,05;22,6916030652;23,2690519747
1,06666666667;22,7105263245;23,3141069997
1,08333333333;22,7207153432;23,3431722563
1,1;22,7352705664;23,3751418056
1,11666666667;22,7585576631;23,4259977054
1,13333333333;22,7803879168;23,4565084919
1,15;22,8022168264;23,5029972203
1,16666666667;22,8196789931;23,5335029299
1,18333333333;22,8313199657;23,5756266388
1,2;22,8516907647;23,6264607104
1,21666666667;22,8793350233;23,655506396
1,23333333333;22,8982483141;23,7048802093
1,25;22,9142511107;23,7382774398
1,26666666667;22,9258890747;23,7789320532
1,28333333333;22,9447999918;23,8224871208
1,3;22,9666190968;23,8732969614
1,31666666667;22,997163731;23,9197476217
1,33333333333;23,0044359023;23,9545831362
1,35;23,0247972489;24,0082838227
1,36666666667;23,0509745468;24,0402116744
1,38333333333;23,0727876184;24,0924536674
1,4;23,0945994794;24,1330833279
1,41666666667;23,1178641413;24,1795140985
1,43333333333;23,1251340699;24,2244908117
1,45;23,1454891695;24,2767181242
1,46666666667;23,1731123084;24,315886069
1,48333333333;23,1963724484;24,3579529896
1,5;23,2138166908;24,4188733131
1,51666666667;23,2341673798;24,4667359329
1,53333333333;23,2617845889;24,5116952036
1,55;23,2850397854;24,5465007167
1,56666666667;23,3024803502;24,5914557578
1,58333333333;23,3112003667;24,6538090162
1,6;23,3359061244;24,7002087453
1,61666666667;23,3649699283;24,7350070955
1,63333333333;23,3838603715;24,7973511736
1,65;23,4012969905;24,8466439209
1,66666666667;23,4274506465;24,9191293835
1,68333333333;23,4550556436;24,9858122094
1,7;23,4768478855;25,0423450073
1,71666666667;23,4870172462;25,082931262
1,73333333333;23,5073553001;25,1307636601
1,75;23,5335029299;25,1858416375
1,76666666667;23,5654591861;25,2365698201
1,78333333333;23,5843414277;25,2786007178
1,8;23,6003181344;25,3351236919
1,81666666667;23,6221037109;25,3771526917
1,83333333333;23,6526019036;25,4351226001
1,85;23,6714808039;25,4771500594
1,86666666667;23,690358998;25,5307705378
1,88333333333;23,7135927385;25,5742460638
1,9;23,7382774398;25,6380094667
1,91666666667;23,7658648409;25,671340074
1,93333333333;23,7832877192;25,7322043355
1,95;23,7992581906;25,7756786458
1,96666666667;23,8326494649;25,8321951867
1,98333333333;23,8587803415;25,8771186416
2;23,8820067519;25,9321862956
2,01666666667;23,8921680032;25,9785593272
2,03333333333;23,9139414974;26,0365261116
2,05;23,9444229947;26,0713065148
2,06666666667;23,9676459153;26,1234776878
2,08333333333;23,9836111395;26,1872435508
2,1;24,014089012;26,2365181383
2,11666666667;24,0358579753;26,2741993488
2,13333333333;24,0561749731;26,3336209814
2,15;24,0793935804;26,3828987483
2,16666666667;24,0953558722;26,4292789972
2,18333333333;24,1214751171;26,4814582539
2,2;24,1490442772;26,5278412289
2,21666666667;24,1650048357;26,5858219624
2,23333333333;24,1853177147;26,626409896
2,25;24,2201383573;26,6872941391
2,26666666667;24,2433511281;26,7278852851
2,28333333333;24,2549572206;26,7887746324
2,3;24,2752674182;26,8279195334
2,31666666667;24,2984783579;26,8844647132
2,33333333333;24,3318427705;26,9308631076
2,35;24,3536013502;26,9816138912
2,36666666667;24,3666561922;27,0280170279
2,38333333333;24,4000175408;27,0874745746
2,4;24,4174228853;27,1309827086
2,41666666667;24,4391790197;27,1802947009
2,43333333333;24,4623849043;27,2209068637
2,45;24,4812391927;27,2716750704
2,46666666667;24,505894145;27,3340521709
2,48333333333;24,5348990375;27,3717711745
2,5;24,5479509156;27,4298043953
2,51666666667;24,5697036068;27,482038552
2,53333333333;24,6016065794;27,5313746359
2,55;24,6262580996;27,5792633167
2,56666666667;24,6465588541;27,6257043618
2,58333333333;24,6552590419;27,6736004334
2,6;24,6799091396;27,727306732
2,61666666667;24,7060085551;27,7723077779
2,63333333333;24,730657368;27,8274753003
2,65;24,7480561663;27,8666766679
2,66666666667;24,7698042494;27,9305665712
2,68333333333;24,7973511736;28,0075353499
2,7;24,8219978228;28,0540127752
2,71666666667;24,8727392043;28,1092104524
2,73333333333;24,9147803804;28,1527920582
2,75;24,9278273436;28,2021894389
2,76666666667;24,9481223468;28,2501390273
2,78333333333;24,9814634348;28,3010002227
2,8;25,000308022;28,3446001861
2,81666666667;25,0148036788;28,3940187698
2,83333333333;25,0350973417;28,4390818789
2,85;25,0539411955;28,4943271448
2,86666666667;25,0814817722;28,5379470692
2,88333333333;25,1090218432;28,585934424
2,9;25,132213104;28,6339275723
2,91666666667;25,145258041;28,6833812234
2,93333333333;25,1742464228;28,7241125337
