"Latest: Time (min)";"Latest: Temperatur metall (°C)";"Latest: Temperatur svart (°C)"
0;21,6840975257;21,5730645326
0,0166666666667;21,6826368772;21,5745258078
0,0333333333333;21,6826368772;21,5701419569
0,05;21,6811762204;21,5686806563
0,0666666666667;21,6811762204;21,5745258078
0,0833333333333;21,6797155554;21,571603249
0,1;21,6811762204;21,571603249
0,116666666667;21,6797155554;21,5745258078
0,133333333333;21,6797155554;21,571603249
0,15;21,6840975257;21,5745258078
0,166666666667;21,6811762204;21,5774483328
0,183333333333;21,6826368772;21,5774483328
0,2;21,6870187981;21,5818320567
0,216666666667;21,6811762204;21,5847544971
0,233333333333;21,6884794219;21,5876769036
0,25;21,6899400375;21,5905992764
0,266666666667;21,6914006449;21,5979050609
0,283333333333;21,7045457416;21,6095938784
0,3;21,7045457416;21,6139770463
0,316666666667;21,7074667839;21,6256651254
0,333333333333;21,7103877936;21,6344308335
0,35;21,7176901744;21,6358917557
0,366666666667;21,7220715049;21,6519613493
0,383333333333;21,7235319321;21,6607261584
0,4;21,726452762;21,6826368772
0,416666666667;21,7395960934;21,7030852081
0,433333333333;21,7468976597;21,7235319321
0,45;21,7615001848;21,7308339457
0,466666666667;21,7819423637;21,7527387669
0,483333333333;21,7921628622;21,7804822604
0,5;21,7980029707;21,8126026824
0,516666666667;21,8023829681;21,8534776452
0,533333333333;21,809682804;21,8870488804
0,55;21,8272015972;21,9031032251
0,566666666667;21,837420365;21,9264533196
0,583333333333;21,8432594866;21,9673112296
0,6;21,8447192472;21,9950328215
0,616666666667;21,8520179319;22,0154575034
0,633333333333;21,8666147102;22,0446330565
0,65;21,8724532013;22,0883907791
0,666666666667;21,8855893477;22,1161005557
0,683333333333;21,9045626642;22,1554730548
0,7;21,9133191358;22,1890084162
0,716666666667;21,920615982;22,2137929768
0,733333333333;21,9352090941;22,250237118
0,75;21,9381276238;22,2852193413
0,766666666667;21,9454238133;22,3318560513
0,783333333333;21,9614747539;22,3784857036
0,8;21,9775247677;22,407625696
0,816666666667;21,9877379322;22,4557008038
0,833333333333;21,9964917766;22,502312186
0,85;22,0198340282;22,5474605733
0,866666666667;22,0358807061;22,5780414379
0,883333333333;22,0431743502;22,6231794791
0,9;22,0592197087;22,6697672424
0,916666666667;22,0650541606;22,7279930308
0,933333333333;22,0883907791;22,7658345643
0,95;22,1073503871;22,8138583654
0,966666666667;22,1161005557;22,8676955906
0,983333333333;22,1321418459;22,9244343491
1;22,1365165896;22,9724373118
1,01666666667;22,1554730548;23,0146167103
1,03333333333;22,1729702417;23,069879279
1,05;22,184634455;23,1265880397
1,06666666667;22,2079615016;23,1760198982
1,08333333333;22,226913379;23,2356209625
1,1;22,2298289456;23,280679533
1,11666666667;22,250237118;23,3475318775
1,13333333333;22,2604406847;23,3925787662
1,15;22,2910493194;23,4477913329
1,16666666667;22,3027089409;23,5146186763
1,18333333333;22,3245695331;23,5625541601
1,2;22,3449713501;23,633722291
1,21666666667;22,3493429927;23,690358998
1,23333333333;22,3697431769;23,7426334418
1,25;22,3813998248;23,8079691565
1,26666666667;22,4134533703;23,8660386988
1,28333333333;22,4309357486;23,9313596937
1,3;22,4455036613;23,9894165687
1,31666666667;22,4557008038;24,0460165583
1,33333333333;22,4877468533;24,1127688212
1,35;22,502312186;24,1722595069
1,36666666667;22,5183332965;24,234646431
1,38333333333;22,5270717518;24,3013796723
1,4;22,5474605733;24,3666561922
1,41666666667;22,5678481307;24,4246749971
1,43333333333;22,5940588601;24,4986427649
1,45;22,6144435589;24,5595524187
1,46666666667;22,6246354438;24,6190077218
1,48333333333;22,6391947448;24,6944089012
1,5;22,6697672424;24,7582053286
1,51666666667;22,6872360117;24,8176484546
1,53333333333;22,7105263245;24,9263776879
1,55;22,7221708929;24,9988584478
1,56666666667;22,739637015;25,0684363001
1,58333333333;22,7600130554;25,1423591751
1,6;22,7891196414;25,2032343164
1,61666666667;22,8138583654;25,2699047425
1,63333333333;22,8284097578;25,3481672531
1,65;22,8400504486;25,4148332712
1,66666666667;22,8706054835;25,472802417
1,68333333333;22,8924289435;25,5452624289
1,7;22,906977198;25,6148228592
1,71666666667;22,9258890747;25,671340074
1,73333333333;22,9404360188;25,7394500605
1,75;22,9637099558;25,8206020488
1,76666666667;22,9928003619;25,8756694962
1,78333333333;23,0000726161;25,9524744604
1,8;23,0233429027;26,0220343553
1,81666666667;23,0480660453;26,0771032765
1,83333333333;23,0713334514;26,1481143443
1,85;23,0931453928;26,2220255175
1,86666666667;23,1164101397;26,2944894817
1,88333333333;23,1236800947;26,3597090573
1,9;23,1454891695;26,4263801966
1,91666666667;23,1672970668;26,501750636
1,93333333333;23,1920112726;26,5713265605
